id,number,group,name,brand,category,type,is_defective,is_favorite
resource-0512-kmb,0512-KMB-,KMB,Dennis G860,Dennis,machine,G860,false,false
resource-0511-vcb,0511-VCB-,VCB,Nissan Townstar,Nissan,voertuig,Townstar,false,false
resource-0510-vcb,0510-VCB-,VCB,Volkswagen Crafter,Volkswagen,voertuig,Crafter,false,false
resource-0509-vpw,0509-VPW-,VPW,Volvo EX90,Volvo,voertuig,EX90,false,false
resource-0508-kmh,0508-KMH-,KMH,Egalisatieschijf,StrakVlak,machine,,false,false
resource-0507-tal,0507-TAL-,TAL,Spin Rake,Spin Turf Machinery,machine,,false,false
resource-0506-kmh,0506-KMH-,KMH,Belijningskar,Footline,machine,Classic 100,false,false
resource-0505-whm,0505-WHM-,WHM,Heftruck,Manitou,machine,ME 425 C,false,false
resource-0504-km2t,0504-KM2T-,KM2T,Bladblazer,Maruyama,machine,BL8200SP(CE),false,false
resource-0503-whm,0503-WHM-,WHM,Verwarmer,Master,machine,XL9S INFRAROOD,false,false
resource-0502-whm,0502-WHM-,WHM,Hogedrukreiniger,Kränzle,machine,WARM WATER THERM 1017,false,false
resource-0501-kmh,0501-KMH-,KMH,Precisiestrooier,Gandy,machine,,false,false
resource-0500-km2t,0500-KM2T-,KM2T,Slijpschijf op motor,Husqvarna,machine,,false,false
resource-0499-kmb,0499-KMB-,KMB,Grondboor,Stihl,machine,,false,false
resource-0498-tsl,0498-TSL-,TSL,Sleep drainagevuller,AVS,machine,,false,false
resource-0497-km2t,0497-KM2T-,KM2T,Kettingzaag,Stihl,machine,,false,false
resource-0496-km2t,0496-KM2T-,KM2T,Bosmaaier/combimotor,Stihl,werktuig,,false,false
resource-0495-kmb,0495-KMB-,KMB,Handmaaier met rol honda,Honda,werktuig,HRH 536K QX BENZINE,false,false
resource-0494-kmb,0494-KMB-,KMB,Handmaaier met rol honda,Honda,werktuig,HRH 536K QX BENZINE,false,false
resource-0493-kmb,0493-KMB-,KMB,Handmaaier 4 wielen honda,Honda,werktuig,HRH 536K HX BENZINE,false,false
resource-0492-kmb,0492-KMB-,KMB,Handmaaier met rol honda,Honda,werktuig,HRH 536K QX BENZINE,false,false
resource-0491-kmb,0491-KMB-,KMB,Handmaaier met rol honda,Honda,werktuig,HRH 536K QX BENZINE,false,false
resource-0490-kmb,0490-KMB-,KMB,Handmaaier met rol honda,Honda,werktuig,HRH 536K QX BENZINE,false,false
resource-0489-vcb,0489-VCB-,VCB,Volkswagen Crafter,Volkswagen,voertuig,Crafter,false,false
resource-0488-ext,0488-EXT-,EXT,Dennis ES-860 cylindermaaier met volgzit (Gemeente Beveren),Dennis,werktuig,ES-860,false,false
resource-0487-ext,0487-EXT-,EXT,Ransomes Mastiff met volgzit (Gemeente Beveren),Ransomes,machine,Mastiff,false,false
resource-0486-kmb,0486-KMB-,KMB,Ferris Zero Turn Mower,Ferris,machine,ISX 800,false,false
resource-0485-kma,0485-KMA-,KMA,Grasmaaier Stihl RMA 765 V,Stihl,werktuig,RMA 765 V,false,false
resource-0484-kma,0484-KMA-,KMA,Grasmaaier Stihl RMA 765 V,Stihl,werktuig,RMA 765 V,false,false
resource-0483-vco,0483-VCO-,VCO,Plateau container,,machine,Technicas,false,false
resource-0482-kmb,0482-KMB-,KMB,Handmaaier met rol honda,Honda,werktuig,HRH 536K QX,false,false
resource-0481-kmb,0481-KMB-,KMB,Handmaaier met rol honda,Honda,werktuig,HRH 536K QX,false,false
resource-0480-tal,0480-TAL-,TAL,Rotoregde,,machine,,false,false
resource-0479-has,0479-HAS-,HAS,Dubbele rolcart robot beregener,,machine,,false,false
resource-0478-wst,0478-WST-,WST,Update machine +stroomunit,,machine,,false,false
resource-0474-tal,0474-TAL-,TAL,Spin rake,,machine,,false,false
resource-0472-val,0472-VAL,VAL,Aanhangwagen,,aanhanger,,false,false
resource-0471-tal,0471-TAL-,TAL,Pendelstrooier Vicon,Vicon,machine,VNPS604H,false,false
resource-0470-vpw,0470-VPW-,VPW,Volvo XC40,Volvo,voertuig,XC40,false,false
resource-0469-km2t,0469-KM2T,KM2T,Zaagmachien,,machine,,false,false
resource-0468-vaz,0468-VAZ-,VAZ,Drieassige dieplader (wipkar ),Dezeure,aanhanger,,false,false
resource-0467-whm,0467-WHM-,WHM,Vetspuit op accu,Dewalt,machine,dcgg57,false,false
resource-0466-whm,0466-WHM-,WHM,Stofzuiger,,machine,,false,false
resource-0465-whm,0465-WHM-,WHM,Compresor mekanieker,FINI,machine,,false,false
resource-0464-kmb,0464-KMB-,KMB,Zodensnijder,Classen,machine,,false,false
resource-0463-kma,0463-KMA-,KMA,Haagschaar Stihl,Stihl,machine,,false,false
resource-0462-kmb,0462-KMB-,KMB,Haagschaar,,machine,,false,false
resource-0461-km2t,0461-KM2T,KM2T,Combimotor,stihl,machine,,false,false
resource-0460-hst,0460-HST,HST,Spindelstatief,Nestle,machine,,false,false
resource-0459-kma,0459-KMA-,KMA,Haakse schroefmachine dewalt,DEAWALT,machine,,false,false
resource-0458-tal,0458-TAL-,TAL,Diepwoeler doelgebieden avs,,machine,,false,false
resource-0457-kmb,0457-KMB-,KMB,Grasmaaier sabo 54,sabo,werktuig,vario 54,false,false
resource-0456-tve,0456-TVE-,TVE,Vertidrain mustang 7117 WD 15 CM WB 170,REDEXIM,machine,mustang 7117,false,false
resource-0455-vvc,0455-VVC-,VVC,Volvo FM Containervrachtwagen,Volvo,voertuig,FM,false,false
resource-0454-kra,0454-KRA-,KRA,Sunward 20F,Sunward,machine,20F,false,false
resource-0453-mr3,0453-MR3-,MR3,3 Delige rotatieve maaier 350 cm werkbreedte met cabine,John Deere,werktuig,Wam 1600 turbo,false,false
resource-0452-vpw,0452-VPW-,VPW,Volvo V90 R - T8 AWD plug-in hybrid,VOLVO,voertuig,V90,false,false
resource-0451-kra,0451-KRA-,KRA,CASE CX60 Minigraver,CASE,machine,CX60 C CAB,false,false
resource-0451-hst,0451-HST-,HST,Hydraulische kantelbak,,werktuig,,false,false
resource-0450-kmb,0450-KMB-,KMB,Gazonmaaier Toro Timemaster,Toro,werktuig,Timemaster 20977,false,false
resource-0449-tal,0449-TAL-,TAL,Optimer,,machine,,false,false
resource-0448-tdu,0448-TDU-,TDU,Kipwagen met schoven,,voertuig,,false,false
resource-0447-whm,0447-WHM-,WHM,Hogedrukreiniger Karcher,KARCHER,machine,HDS 6/14-4 CX,false,false
resource-0446-mr3,0446-MR3-,MR3,3 Delige rotatieve maaier 350 cm werkbreedte met cabine,John Deere,werktuig,Wam 1600 turbo,false,false
resource-0445-trl,0445-TRL-,TRL,TRAKTOR CASE IH FARMALL 100,CASE IH,machine,FARMALL 100 C 1.5 STAGE V - SIC319274,false,false
resource-0444-trl,0444-TRL-,TRL,TRAKTOR CASE IH FARMALL 100,CASE IH,machine,FARMALL 100 C 1. STAGE V - SIC319275,false,false
resource-0443-kma,0443-KMA-,KMA,Dennis accu stadionmaaier,Dennis,werktuig,ES-34R,false,false
resource-0442-tma,0442-TMA-,TMA,Hydraulische palenmaaier Agrimaster,Agrimaster,werktuig,Olivia X60,false,false
resource-0441-tsl,0441-TSL-,TSL,Sleep piste Equitech,Equitech,machine,PM Multi 200 cms ID M200 0429,false,false
resource-0440-whm,0440-WHM-,WHM,Schroefcompressor APS 7.5 BASIC -ITJ421413-I2003119,,machine,Schroefcompressor APS 7.5 BASIC -ITJ421413-I2003119,false,false
resource-0439-vpw,0439-VPW-,VPW,Opel Grandland X Ultimate,Opel,voertuig,Grandland X Ultimate,false,false
resource-0438-mc5,0438-MC5-,MC5,5 Delige cylindermaaier 350 cm werkbreedte jumbo,John Deere,werktuig,1905 4WD,false,false
resource-0437-tdu,0437-TDU-,TDU,SP400 Sandspreader GKB,GKB,machine,SP400,false,false
resource-0436-vpw,0436-VPW-,VPW,VOLVO V60,VOLVO,voertuig,V60 Momentum Pro D3,false,false
resource-0435-vvc,0435-VVC-,VVC,DAF TREKKER DIEPLADER C+E,DAF,voertuig,XF 440,false,false
resource-0433-tal,0433-TAL-,TAL,KORO FIELDTOPMAKER 2.0,KORO,machine,FTM 2.0,false,false
resource-0432-kmb,0432-KMB-,KMB,Lumag LVS-30GX Trilstamper,LUMAG,werktuig,LVS-30GX,false,false
resource-0431-trs,0431-TRS-,TRS,SMALSPOORTRACTOR T4.100 F CAB,NEW HOLLAND,machine,T4.100 F CAB,false,false
resource-0430-kma,0430-KMA-,KMA,Accu kettingzaag Stihl,STIHL,machine,MSA140 C-BQ,false,false
resource-0429-vaz,0429-VAZ-,VAZ,Aanhangwagen 3500 kg Brian James,Brian James,aanhanger,T-02-T,false,false
resource-0428-las,0428-LAS-,LAS,DUBBELE HELLINGSLASER GL722/DAGPRIJS,SPECTRA,machine,GL722,false,false
resource-0427-trl,0427-TRL-,TRL,LANDBOUWTRAKTOR VESTRUM 120 CVX,CASE IH,machine,VESTRUM 120 CVX,false,false
